author,quote
Eleanor Roosevelt,"The future belongs to those who believe in the beauty of their dreams."
Winston Churchill,"Success is not final, failure is not fatal: It is the courage to continue that counts."
Helen Keller,"Optimism is the faith that leads to achievement. Nothing can be done without hope and confidence."
Steve Jobs,"Your time is limited, don't waste it living someone else's life."
Maya Angelou,"Success is liking yourself, liking what you do, and liking how you do it."
Vince Lombardi,"The difference between a successful person and others is not a lack of strength, not a lack of knowledge, but rather a lack in will."
Audrey Hepburn,"Nothing is impossible, the word itself says 'I'm possible'!"
Abraham Lincoln,"I'm a success today because I had a friend who believed in me and I didn't have the heart to let him down."
Coco Chanel,"Success is most often achieved by those who don't know that failure is inevitable."
Napoleon Hill,"The starting point of all achievement is desire."
Ralph Waldo Emerson,"What lies behind us and what lies before us are tiny matters compared to what lies within us."
Herman Melville,"It is better to fail in originality than to succeed in imitation."
Bob Marley,"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for."
Michael Jordan,"I can accept failure, everyone fails at something. But I can't accept not trying."
John F. Kennedy,"We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard."
Elon Musk,"When something is important enough, you do it even if the odds are not in your favor."
Thomas Edison,"I have not failed. I've just found 10,000 ways that won't work."
Nelson Mandela,"Education is the most powerful weapon which you can use to change the world."
Rumi,"The wound is the place where the Light enters you."
C.S. Lewis,"Hardships often prepare ordinary people for an extraordinary destiny."
Mother Teresa,"Not all of us can do great things. But we can do small things with great love."
William Shakespeare,"It is not in the stars to hold our destiny but in ourselves."
Anne Frank,"Think of all the beauty still left around you and be happy."
Martin Luther King Jr.,"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character."
Oscar Wilde,"Be yourself; everyone else is already taken."
Walt Disney,"The way to get started is to quit talking and begin doing."
Albert Einstein,"Imagination is more important than knowledge. For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution."
Malala Yousafzai,"One child, one teacher, one book, one pen can change the world."
Steve Jobs,"Stay hungry, stay foolish."
Mark Twain,"Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do."
Maya Angelou,"If you are always trying to be normal, you will never know how amazing you can be."
Helen Keller,"Life is either a daring adventure or nothing at all."
Mahatma Gandhi,"Strength does not come from physical capacity. It comes from an indomitable will."
Barack Obama,"Change will not come if we wait for some other person or some other time. We are the ones we've been waiting for. We are the change that we seek."
Vincent van Gogh,"I would rather die of passion than of boredom."
Rosa Parks,"Each person must live their life as a model for others."
Winston Churchill,"Success consists of going from failure to failure without loss of enthusiasm."
Audrey Hepburn,"The most important thing is to enjoy your life—to be happy—it's all that matters."
Albert Einstein,"The only source of knowledge is experience."
Elon Musk,"Persistence is very important. You should not give up unless you are forced to give up."
Oprah Winfrey,"Turn your wounds into wisdom."
Leonardo da Vinci,"It had long since come to my attention that people of accomplishment rarely sat back and let things happen to them. They went out and happened to things."
Napoleon Hill,"Whatever the mind can conceive and believe, it can achieve."
Helen Keller,"Alone we can do so little; together we can do so much."
Bob Marley,"The greatness of a man is not in how much wealth he acquires, but in his integrity and his ability to affect those around him positively."
Nelson Mandela,"Do not judge me by my successes, judge me by how many times I fell down and got back up again."
Martin Luther King Jr.,"Our lives begin to end the day we become silent about things that matter."
Rumi,"What you seek is seeking you."
C.S. Lewis,"You are never too old to set another goal or to dream a new dream."
Mother Teresa,"If you can't feed a hundred people, then feed just one."
Walt Disney,"All our dreams can come true, if we have the courage to pursue them."
Malala Yousafzai,"Let us remember: One book, one pen, one child, and one teacher can change the world."
John Lennon,"Life is what happens when you're busy making other plans."
Maya Angelou,"You may not control all the events that happen to you, but you can decide not to be reduced by them."
Eleanor Roosevelt,"You gain strength, courage, and confidence by every experience in which you really stop to look fear in the face."
Steve Jobs,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do."
Nelson Mandela,"The greatest glory in living lies not in never falling, but in rising every time we fall."
Mahatma Gandhi,"Be the change that you wish to see in the world."
Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years."
Albert Einstein,"Try not to become a man of success, but rather try to become a man of value."
